iter	RMSE
114	0.3350216022
115	0.3348123499
116	0.3345578515
117	0.3343628858
118	0.334186127
119	0.3339863293
120	0.3337256384
121	0.3335864773
122	0.3335546236
123	0.333271112
124	0.3330876673
125	0.3330522278
126	0.3328669269
127	0.3328227578
128	0.3326017824
129	0.3323515378
130	0.3321799603
131	0.3319046784
132	0.3317365863
133	0.3316953606
134	0.3314185991
135	0.3312565046
136	0.3311446012
137	0.3308824975
138	0.330685965
139	0.3304894597
140	0.3302515295
141	0.3300736551
142	0.3299054758
143	0.3296872531
144	0.3296220798
145	0.3294507366
146	0.3293990343
147	0.3291576948
148	0.3290726773
149	0.3289011722
150	0.328740832
151	0.3285898743
152	0.3284182483
153	0.328219068
154	0.3279778261
155	0.3278119235
156	0.3276127475
157	0.3274265941
158	0.3271146509
159	0.3270225222
160	0.3269323985
161	0.3268704255
162	0.3265525053
163	0.3263718737
164	0.3261903768
165	0.3261296198
166	0.3260618274
167	0.3258245299
168	0.3257332215
169	0.3255040864
170	0.3254498138
171	0.3252938741
172	0.325108364
173	0.3249166588
174	0.3247647803
175	0.3244396633
176	0.3243114364
177	0.3240524889
178	0.3239982555
179	0.323924756
180	0.3237775133
181	0.3236248292
182	0.3234786262
183	0.3234185357
184	0.3232763635
185	0.3230845214
186	0.3227942858
187	0.3226188447
188	0.3225710784
189	0.3224219495
190	0.322370624
191	0.3222375537
192	0.3218675854
193	0.3217051996
194	0.3215535673
195	0.3213032978
196	0.3210825409
197	0.3208536554
198	0.3207142483
199	0.3206079897
200	0.3205594024
201	0.3205106937
202	0.3203812432
203	0.3201615178
204	0.3200275668
205	0.3198752466
206	0.319743427
207	0.319453985
208	0.3192990068
209	0.3186828041
210	0.3185090426
211	0.3184124316
212	0.3182951777
213	0.3181489042
214	0.3178260306
215	0.3177295803
216	0.3176820651
217	0.3174759781
218	0.3173376372
219	0.317293825
220	0.3171601141
221	0.3168992613
222	0.3168004207
223	0.3167502517
224	0.316638884
225	0.3163492218
226	0.3161714245
227	0.3159738939
228	0.3158630698
229	0.3157167606
230	0.3155607248
231	0.3153206583
232	0.3151515219
233	0.3151073453
234	0.3149172126
235	0.3145963481
236	0.3143731651
237	0.3142700477
238	0.3141351644
239	0.3140137037
240	0.3138356411
241	0.3137439231
242	0.3136595296
243	0.3135021973
244	0.3133917564
245	0.313348785
246	0.3131188366
247	0.3130465204
248	0.3129192868
249	0.3128162403
250	0.3125528755
251	0.3125109139
252	0.3124281834
253	0.3123191681
254	0.3121952683
255	0.3120294192
256	0.3119410232
257	0.3119000509
258	0.311832042
259	0.3116472753
260	0.3114867694
261	0.3113431912
262	0.3113055553
263	0.3110773164
264	0.3109541988
265	0.3109158381
266	0.3108773935
267	0.3107560285
268	0.3106328823
269	0.3105120961
270	0.3104293108
271	0.3103135307
272	0.3099975738
273	0.3098618673
274	0.3097643649
275	0.3097284028
276	0.3096519883
277	0.3095711076
278	0.3094926893
279	0.3092518897
280	0.3091565181
281	0.3090270323
282	0.3088416247
283	0.3085222991
284	0.3081165796
285	0.3080809465
286	0.3079453515
287	0.3077044725
288	0.3076698612
289	0.3076341335
290	0.3075995247
291	0.307280932
292	0.3072472443
293	0.3071817829
294	0.3070380447
295	0.3070052365
296	0.3068328106
297	0.3067499481
298	0.3066630221
299	0.3065656602
300	0.3063926238
301	0.30623742
302	0.3061300256
303	0.3060718091
304	0.3060137627
305	0.3058482798
306	0.3057769425
307	0.305744343
308	0.3054877353
309	0.3053742876
310	0.3052220784
311	0.3051367045
312	0.3050392765
313	0.3049925543
314	0.3048464041
315	0.3047942404
316	0.3047628922
317	0.3046932308
318	0.3046236487
319	0.3044275883
320	0.3043692437
321	0.3042037001
322	0.3041307803
323	0.3040165747
324	0.3038713792
325	0.3037779435
326	0.3036866638
327	0.3035297574
328	0.3034055194
329	0.3033249122
330	0.3032619642
331	0.3031929705
332	0.3030908212
333	0.3029689417
334	0.3028481498
335	0.3025579505
336	0.3025011935
337	0.3024108925
338	0.3022713797
339	0.3021728933
340	0.3021420371
341	0.3019071918
342	0.3018768054
343	0.301740578
344	0.3016746975
345	0.3015933219
346	0.3014451259
347	0.3012125926
348	0.3011490167
349	0.3010349128
350	0.3010026024
351	0.3009028742
352	0.3008725452
353	0.3008440686
354	0.3006994307
355	0.3005723723
356	0.3005239736
357	0.3003430836
358	0.3002679383
359	0.3000277055
360	0.2999673645
361	0.2999092951
362	0.2998810682
363	0.2997522771
364	0.2997247209
365	0.2995834701
366	0.2994359169
367	0.2993262865
368	0.2992804015
369	0.299165064
370	0.2990674501
371	0.2989835595
372	0.2989261576
373	0.2988988135
374	0.29879382
375	0.2987119481
376	0.2985868967
377	0.2985434125
378	0.2984780109
379	0.2984037969
380	0.2983080833
381	0.2982664822
382	0.2980928359
383	0.2980266365
384	0.2979968511
385	0.2978897398
386	0.2978071955
387	0.2977530873
388	0.2977237991
389	0.2976372899
390	0.29760839
391	0.2974452726
392	0.2973754545
393	0.29731598
394	0.297263768
395	0.2972032346
396	0.2971759387
397	0.2971189432
398	0.2968922735
399	0.2968087413
400	0.2966918121
401	0.2966295344
402	0.2964649276
403	0.2963919284
404	0.296223396
405	0.2961812178
406	0.2961138594
407	0.2959522387
408	0.2958748172
409	0.2956932418
410	0.2955540519
411	0.2955257584
412	0.2954977898
413	0.2954356998
414	0.295382522
415	0.2953284655
416	0.2952406559
417	0.2951966233
418	0.2951481292
419	0.2950144978
420	0.2949570179
421	0.2948139327
422	0.2947500353
423	0.2946507966
424	0.2945497833
425	0.2945086163
426	0.29446752
427	0.2944307447
428	0.2943510962
429	0.2941183385
430	0.2940371532
431	0.2939918307
432	0.2939644427
433	0.2938876636
434	0.2938048919
435	0.2937387111
436	0.2934945187
437	0.2934235264
438	0.293396442
439	0.293331013
440	0.2932041922
441	0.2931259145
442	0.2930722018
443	0.293045488
444	0.2930202124
445	0.2929224328
446	0.2928963327
447	0.2928588076
448	0.2927871332
449	0.2927032667
450	0.2926425442
451	0.2925448215
452	0.2924255324
453	0.2923724149
454	0.2922718168
455	0.2922184149
456	0.2921268247
457	0.2920653951
458	0.2920394997
459	0.2919690562
460	0.291892875
461	0.2918546146
462	0.2918290403
463	0.2917815674
464	0.2917215856
465	0.2916667634
466	0.2915857706
467	0.2914612684
468	0.2912375696
469	0.2911940052
470	0.2910524991
471	0.2909905717
472	0.2909028399
473	0.2908633574
474	0.2907998818
475	0.2907744584
476	0.2907170779
477	0.2906489782
478	0.2906239504
479	0.2905876828
480	0.2905062438
481	0.2904623812
482	0.2903770395
483	0.2902825261
484	0.2902577529
485	0.2902333234
486	0.2900729983
487	0.2900194657
488	0.2899797689
489	0.2899283993
490	0.2898530813
491	0.2897795235
492	0.2897440435
493	0.2895672438
494	0.2895020801
495	0.2894678269
496	0.289350569
497	0.2892830002
498	0.2891805589
499	0.2891248625
500	0.2890764683
501	0.2890201999
502	0.2889959254
503	0.2889519973
504	0.28890797
505	0.2888128178
506	0.2887193709
507	0.2886615668
508	0.288637554
509	0.2885232605
510	0.2885002523
511	0.2884767175
512	0.2884402642
513	0.2883698711
514	0.2882624748
515	0.2881949722
516	0.2881348665
517	0.2880370616
518	0.2879069314
519	0.2878568578
520	0.287822357
521	0.2877988144
522	0.2877029272
523	0.2875871408
524	0.2875080206
525	0.2874829488
526	0.2874416096
527	0.2873510554
528	0.2873280679
529	0.2872776439
530	0.2872031172
531	0.2871787376
532	0.2871109619
533	0.2870267763
534	0.2869615219
535	0.2869000202
536	0.2868761373
537	0.2868385594
538	0.2868150741
539	0.2867830815
540	0.2867188315
541	0.2866957056
542	0.2866739885
543	0.2866515554
544	0.2866294012
545	0.2866074988
546	0.28658707
547	0.2865657607
548	0.2865166304
549	0.2864798324
550	0.286458906
551	0.2864145807
552	0.2863833824
553	0.2863364378
554	0.2862965204
555	0.2862771173
556	0.2862294001
557	0.2862090606
558	0.2861744696
559	0.2861289029
560	0.286052626
561	0.2860220105
562	0.2858769298
563	0.2858047006
564	0.2857626254
565	0.2857240977
566	0.285685489
567	0.2856349686
568	0.2855745521
569	0.2854372642
570	0.2854064272
571	0.2853376852
572	0.285317572
573	0.2851942852
574	0.2851200082
575	0.2850553612
576	0.2849804675
577	0.2849416917
578	0.2848317836
579	0.2847842839
580	0.2847644178
581	0.2846991529
582	0.2846450625
583	0.2845637396
584	0.2844586801
585	0.284396948
586	0.2842691115
587	0.2842246515
588	0.2841645457
589	0.2841270581
590	0.284012371
591	0.2839752523
592	0.2839394826
593	0.2839198397
594	0.2838758546
595	0.2838411327
596	0.2838227862
597	0.2838033357
598	0.2837554903
599	0.2837249438
600	0.2836615334
601	0.2836275187
602	0.2835912316
603	0.2835621445
604	0.2834919042
605	0.2834713973
606	0.2834169498
607	0.2833893959
608	0.28336123
609	0.2832455008
610	0.2832172551
611	0.2831768806
612	0.2831294442
613	0.2830211959
614	0.2829922458
615	0.2829398822
616	0.2829125326
617	0.2828865848
618	0.2828610214
619	0.2828001196
620	0.2827163024
621	0.2826398941
622	0.2825350626
623	0.2824948019
624	0.28237607
625	0.2823540942
626	0.2823277582
627	0.2822802356
628	0.2822227207
629	0.2822024307
630	0.2821155596
631	0.2820498712
632	0.281999519
633	0.2819793219
634	0.2818223288
635	0.2817903961
636	0.2817510594
637	0.2817205192
638	0.2816894479
639	0.2816174528
640	0.2815980134
641	0.2815666729
642	0.2815399113
643	0.2815138275
644	0.2814843948
645	0.2814143128
646	0.2813820992
647	0.2813309831
648	0.2812580558
649	0.281209324
650	0.2811316537
651	0.2810704556
652	0.2809680596
653	0.28092639
654	0.2808549549
655	0.2807416729
656	0.2806850358
657	0.280649992
658	0.2805928945
659	0.2805728766
660	0.2804626587
661	0.2804068411
662	0.2802649082
663	0.2802455746
664	0.2802269375
665	0.2801322566
666	0.2800788331
667	0.2800602596
668	0.2800270936
669	0.2800074466
670	0.2799882727
671	0.2799689326
672	0.2799192041
673	0.2798688091
674	0.2798402174
675	0.2797757494
676	0.2796540628
677	0.2796278183
678	0.2795668978
679	0.2794890582
680	0.2794223073
681	0.27937909
682	0.2793597782
683	0.2791149015
684	0.2790297501
685	0.2790116672
686	0.278967006
687	0.2788983069
688	0.2788178767
689	0.2786936384
690	0.2786682687
691	0.2786372546
692	0.2786193398
693	0.2785673531
694	0.2785338369
695	0.2785148813
696	0.2784778349
697	0.2783989916
698	0.2783801548
699	0.2783543007
700	0.2782785357
701	0.278245512
702	0.2782280669
703	0.2781065417
704	0.2780784296
705	0.2779458585
706	0.2779046812
707	0.2778297615
708	0.2777941945
709	0.2777766941
710	0.2777018802
711	0.2776323025
712	0.2775832891
713	0.277564719
714	0.2775467382
715	0.2775077204
716	0.2774332658
717	0.2774150075
718	0.2773968613
719	0.277340313
720	0.2773038616
721	0.2772727752
722	0.2772447006
723	0.2771643216
724	0.2770963666
725	0.2770782928
726	0.2770296932
727	0.2768802988
728	0.2768622166
729	0.27683703
730	0.2767187286
731	0.2765885008
732	0.2765233254
733	0.2765058165
734	0.2764798086
735	0.2764472129
736	0.2763448256
737	0.2762961684
738	0.2762435397
739	0.2762218733
740	0.2762040901
741	0.2761598495
742	0.2760610587
743	0.2760012853
744	0.2758706446
745	0.2758528744
746	0.2758352537
747	0.2757683403
748	0.2755870877
749	0.2755017502
750	0.2754842815
751	0.2754472775
752	0.2754182863
753	0.2753940515
754	0.2753469279
755	0.2753013732
756	0.2752606585
757	0.2751987996
758	0.2751597396
759	0.2751437173
760	0.2751264509
761	0.2750913374
762	0.2750741575
763	0.2750504912
764	0.2750041491
765	0.2749440808
766	0.2749002771
767	0.2748698204
768	0.2748260608
769	0.2747491471
770	0.2747320324
771	0.2747053657
772	0.2746813284
773	0.2745810351
774	0.2745305328
775	0.2744785864
776	0.2743781684
777	0.2742962804
778	0.274237414
779	0.2742125523
780	0.2740891987
781	0.2740674704
782	0.2740426602
783	0.2740121001
784	0.2739634509
785	0.2739383145
786	0.2738510996
787	0.2738347911
788	0.2738178956
789	0.2737604033
790	0.2737435438
791	0.2737223295
792	0.2736787752
793	0.2736487764
794	0.2735462185
795	0.27352056
796	0.2734879407
797	0.2734638532
798	0.2734472835
799	0.2734307534
800	0.2732977056
801	0.2731571033
802	0.2730988182
803	0.2730417522
804	0.2729688699
805	0.2728743151
806	0.2728577252
807	0.2728412637
808	0.2727965903
809	0.2725696599
810	0.2724258349
811	0.2724041533
812	0.2723583069
813	0.27231633
814	0.2722880426
815	0.2722527798
816	0.2722218707
817	0.2722061076
818	0.272161325
819	0.2721175
820	0.2720810614
821	0.2720516394
822	0.2720352908
823	0.2720135866
824	0.2719698021
825	0.2719535988
826	0.2718891848
827	0.2718634473
828	0.2718477089
829	0.271781935
830	0.2717513132
831	0.2717041276
832	0.271688034
833	0.2716377698
834	0.2715682922
835	0.2715530093
836	0.2714989987
837	0.2714560661
838	0.2714312637
839	0.2714095501
840	0.2713729777
841	0.2713033904
842	0.2712779231
843	0.2712014202
844	0.271185928
845	0.271084578
846	0.2710415753
847	0.2710091141
848	0.2708739956
849	0.2707802945
850	0.2707163966
851	0.2706360055
852	0.2706208194
853	0.2705984356
854	0.2705442741
855	0.2704733677
856	0.2703878554
857	0.2703631075
858	0.270347725
859	0.2702430842
860	0.2702273449
861	0.2701821053
862	0.2701196477
863	0.2700854659
864	0.2700192793
865	0.2699716436
866	0.2699559925
867	0.2699312071
868	0.2699163373
869	0.2699013785
870	0.2698867031
871	0.2698683702
872	0.2698309106
873	0.269753144
874	0.2696911395
875	0.2696235451
876	0.2696016403
877	0.2695812484
878	0.2695221684
879	0.2695056505
880	0.2694780686
881	0.2693770813
882	0.2693572549
883	0.2693196892
884	0.2692801463
885	0.2692316197
886	0.2691791856
887	0.2691558018
888	0.2690675085
889	0.2690528379
890	0.2690076868
891	0.2689924136
892	0.2689639677
893	0.2687549162
894	0.2687131692
895	0.2686984507
896	0.2686540927
897	0.2686389577
898	0.268623904
899	0.2686025577
900	0.2685889215
901	0.2685678575
902	0.2684143467
903	0.2683180305
904	0.2682843868
905	0.2682642953
906	0.2680906826
907	0.2680339196
908	0.2680116348
909	0.2679559813
910	0.2678488456
911	0.2677880883
912	0.2677730463
913	0.2677092239
914	0.267685497
915	0.2676555012
916	0.2676406769
917	0.2676246973
918	0.2676088561
919	0.2675946626
920	0.2675642507
921	0.2675477065
922	0.2675325439
923	0.2674918697
924	0.2674776684
925	0.2674379075
926	0.2674228485
927	0.2674091857
928	0.2673947031
929	0.2673698202
930	0.2673438382
931	0.2673296362
932	0.2673172087
933	0.2673032808
934	0.267289519
935	0.2672686871
936	0.2672550557
937	0.2671997316
938	0.2671802943
939	0.2671513164
940	0.2671055883
941	0.2670854625
942	0.2670524735
943	0.2670318969
944	0.2670000004
945	0.2669873093
946	0.2669108396
947	0.2668965001
948	0.266844282
949	0.2668300944
950	0.266815482
951	0.2667381692
952	0.2667018191
953	0.2666673585
954	0.2666539621
955	0.2666132471
956	0.2665923446
957	0.2665791486
958	0.2665658683
959	0.2664351281
960	0.2664147716
961	0.2664008757
962	0.2663872051
963	0.2663736706
964	0.2663611368
965	0.2663467224
966	0.2663244644
967	0.2662997491
968	0.2662866497
969	0.2662649141
970	0.2662268192
971	0.2662145186
972	0.2661290758
973	0.2660913661
974	0.266052331
975	0.2659952724
976	0.2659349701
977	0.2658638372
978	0.2657845608
979	0.265728531
980	0.265618606
981	0.2656064001
982	0.2655818948
983	0.2655370849
984	0.2654489577
985	0.2653979718
986	0.2653426741
987	0.2653205125
988	0.2652731912
989	0.2651620332
990	0.2651215563
991	0.2650987244
992	0.264999562
993	0.2649485665
994	0.2649086502
995	0.2648740466
996	0.26485343
997	0.264839881
998	0.2648145549
999	0.2647955713
