iter	MultiClass
284	1.201621021
285	1.201188882
286	1.200934345
287	1.200676646
288	1.200497104
289	1.200224436
290	1.199987606
291	1.199587617
292	1.199350183
293	1.199105389
294	1.198870654
295	1.198612626
296	1.198468011
297	1.198333392
298	1.198121724
299	1.197920987
300	1.197819947
301	1.197551764
302	1.197293837
303	1.197201025
304	1.197169414
305	1.196947576
306	1.196746129
307	1.19647583
308	1.196201245
309	1.196061079
310	1.195760351
311	1.195633682
312	1.195445729
313	1.195181157
314	1.194859842
315	1.194648498
316	1.194492482
317	1.194279247
318	1.194036181
319	1.193918502
320	1.193662065
321	1.193588224
322	1.193332791
323	1.193109203
324	1.192934918
325	1.192729838
326	1.192354944
327	1.192165479
328	1.191980762
329	1.19175194
330	1.191636781
331	1.191367953
332	1.191285145
333	1.191141382
334	1.191009222
335	1.190787577
336	1.19060572
337	1.190329189
338	1.190146065
339	1.189936121
340	1.189680406
341	1.189617564
342	1.189487593
343	1.189186897
344	1.189071743
345	1.188922079
346	1.188613851
347	1.188467444
348	1.18834689
349	1.188238741
350	1.188199924
351	1.188115462
352	1.187869219
353	1.18744477
354	1.187264131
355	1.187063162
356	1.186905628
357	1.186632528
358	1.186507859
359	1.186421358
360	1.186322154
361	1.186135967
362	1.185916834
363	1.185704378
364	1.18561985
365	1.185357764
366	1.185204354
367	1.185033225
368	1.184871844
369	1.184690625
370	1.184375744
371	1.184123685
372	1.183862222
373	1.183628619
374	1.183360639
375	1.183233847
376	1.182979065
377	1.182918166
378	1.182764272
379	1.182664944
380	1.182431504
381	1.182211349
382	1.182001512
383	1.181788692
384	1.181703439
385	1.181537375
386	1.181422243
387	1.181262291
388	1.181064315
389	1.180952069
390	1.180867369
391	1.180653846
392	1.180520672
393	1.180301164
394	1.180065216
395	1.180000522
396	1.179908453
397	1.179663116
398	1.179478255
399	1.179287909
400	1.179075235
401	1.178831577
402	1.178564467
403	1.178377965
404	1.178196078
405	1.177949057
406	1.177611271
407	1.177376664
408	1.177262371
409	1.177155159
410	1.177041385
411	1.17692126
412	1.176777778
413	1.176639717
414	1.176450451
415	1.176329026
416	1.176180066
417	1.176026914
418	1.17584316
419	1.175720733
420	1.175441667
421	1.17539302
422	1.175071019
423	1.174975502
424	1.174873185
425	1.174818133
426	1.174573127
427	1.174342371
428	1.174301652
429	1.174232006
430	1.174087429
431	1.173902793
432	1.17385733
433	1.173751101
434	1.173698975
435	1.173593106
436	1.173392137
437	1.17329865
438	1.173030734
439	1.172901848
440	1.172835563
441	1.172694868
442	1.172588692
443	1.172387565
444	1.172191314
445	1.172003545
446	1.171836488
447	1.171698782
448	1.171615251
449	1.171444615
450	1.171295503
451	1.171203832
452	1.171057976
453	1.170816653
454	1.170646806
455	1.170516792
456	1.170287862
457	1.170209453
458	1.169983154
459	1.16987236
460	1.169681506
461	1.169463585
462	1.169326215
463	1.169149192
464	1.168878054
465	1.16868342
466	1.168581845
467	1.168426559
468	1.168351006
469	1.168171742
470	1.168029746
471	1.16788902
472	1.167723376
473	1.167572341
474	1.167454914
475	1.167400881
476	1.167293732
477	1.167084869
478	1.16687594
479	1.166697536
480	1.166579246
481	1.166398187
482	1.166293124
483	1.166175671
484	1.166031132
485	1.165940878
486	1.16578598
487	1.165579575
488	1.165519016
489	1.16541501
490	1.16528215
491	1.165028321
492	1.164896743
493	1.164801216
494	1.164730901
495	1.164557119
496	1.164319087
497	1.164222122
498	1.164125517
499	1.163976498
500	1.163849312
501	1.163585682
502	1.163500799
503	1.163398797
504	1.163279551
505	1.16306981
506	1.162983928
507	1.162781007
508	1.162606522
509	1.162428462
510	1.16229974
511	1.162210195
512	1.162111451
513	1.16207931
514	1.161978129
515	1.161764671
516	1.161739168
517	1.161549283
518	1.161433739
519	1.161274849
520	1.161173481
521	1.160969827
522	1.160793118
523	1.160657586
524	1.16054655
525	1.160431054
526	1.160326366
527	1.160129101
528	1.160012515
529	1.159865556
530	1.159709353
531	1.15958723
532	1.159489677
533	1.159306889
534	1.159232549
535	1.159058404
536	1.158962174
537	1.158831388
538	1.158746935
539	1.158673994
540	1.158532176
541	1.15843404
542	1.158289337
543	1.158148094
544	1.157973214
545	1.157743837
546	1.157694072
547	1.157595059
548	1.157545358
549	1.157415246
550	1.15731829
551	1.157216947
552	1.157031378
553	1.156818993
554	1.156627766
555	1.156503102
556	1.156393434
557	1.156260852
558	1.156094144
559	1.156022931
560	1.155916238
561	1.155806061
562	1.155739514
563	1.155604876
564	1.15543885
565	1.155296502
566	1.155178107
567	1.155146529
568	1.155026142
569	1.154903695
570	1.154841475
571	1.154794037
572	1.154636417
573	1.154481717
574	1.154364349
575	1.154201016
576	1.154160288
577	1.154034309
578	1.153952156
579	1.15376432
580	1.153696357
581	1.153626809
582	1.153530721
583	1.153446783
584	1.153371516
585	1.153316494
586	1.153099951
587	1.152916343
588	1.152853183
589	1.152782058
590	1.152669875
591	1.152429667
592	1.152276189
593	1.152121207
594	1.152020162
595	1.151898935
596	1.151803469
597	1.151738984
598	1.151531441
599	1.151429127
600	1.151290686
601	1.151070731
602	1.150995093
603	1.150829598
604	1.150786177
605	1.150676321
606	1.150527664
607	1.150490419
608	1.15039429
609	1.150360804
610	1.15024512
611	1.15014474
612	1.150029638
613	1.149962947
614	1.149756222
615	1.14968996
616	1.149526656
617	1.149394579
618	1.149207437
619	1.149142221
620	1.148991909
621	1.148870996
622	1.148658996
623	1.148525345
624	1.14847243
625	1.148390888
626	1.148236308
627	1.148080882
628	1.147980628
629	1.1478078
630	1.147752009
631	1.147542931
632	1.147413071
633	1.147366214
634	1.14730278
635	1.147219069
636	1.147122331
637	1.146954878
638	1.146809605
639	1.146731781
640	1.146676433
641	1.146530587
642	1.146411194
643	1.14630388
644	1.146210397
645	1.146149918
646	1.146004476
647	1.145920769
648	1.145759784
649	1.145628575
650	1.145572787
651	1.145490673
652	1.145338319
653	1.145228361
654	1.145103984
655	1.145009315
656	1.14491636
657	1.144852385
658	1.144745322
659	1.144531484
660	1.144493215
661	1.144339535
662	1.144226222
663	1.144098581
664	1.144001553
665	1.143870443
666	1.143726038
667	1.143584065
668	1.14346607
669	1.14341669
670	1.143341264
671	1.143237762
672	1.143122951
673	1.143080729
674	1.14294435
675	1.14283693
676	1.142765236
677	1.142556623
678	1.142474816
679	1.14229308
680	1.142092771
681	1.141919171
682	1.141779508
683	1.141661768
684	1.141444198
685	1.141355198
686	1.141306262
687	1.141242648
688	1.141224384
689	1.141107472
690	1.141044211
691	1.140997832
692	1.140866907
693	1.140709351
694	1.14054831
695	1.140395806
696	1.14032242
697	1.140270127
698	1.140138359
699	1.140045185
700	1.139981751
701	1.139855329
702	1.139646889
703	1.139569952
704	1.139518441
705	1.139400013
706	1.139263442
707	1.139237893
708	1.139154004
709	1.139053665
710	1.138954622
711	1.138893279
712	1.138767492
713	1.138666934
714	1.13852124
715	1.138458209
716	1.138313781
717	1.138266222
718	1.138166975
719	1.138119329
720	1.138082098
721	1.137989927
722	1.137934988
723	1.137817907
724	1.137738951
725	1.137580839
726	1.13747656
727	1.137377132
728	1.137183746
729	1.137100889
730	1.136915697
731	1.136838384
732	1.136763541
733	1.136640583
734	1.136505018
735	1.136427351
736	1.136386228
737	1.136228539
738	1.136081187
739	1.13598886
740	1.13588066
741	1.135797303
742	1.135725564
743	1.135541659
744	1.135474473
745	1.135409937
746	1.135243094
747	1.135106463
748	1.135005631
749	1.134957438
750	1.134853865
751	1.134766554
752	1.134613791
753	1.134469523
754	1.134360123
755	1.134280701
756	1.134188721
757	1.134092526
758	1.134045149
759	1.134016329
760	1.133951399
761	1.133861011
762	1.133784768
763	1.133728372
764	1.133680306
765	1.133511115
766	1.133409981
767	1.133355163
768	1.133238045
769	1.133123794
770	1.132992067
771	1.132942956
772	1.132852613
773	1.132778218
774	1.132694003
775	1.132584931
776	1.132487458
777	1.132355579
778	1.132245042
779	1.132189015
780	1.132084808
781	1.131969045
782	1.131854491
783	1.13178855
784	1.13168242
785	1.131650213
786	1.131581178
787	1.131484528
788	1.13142143
789	1.131328102
790	1.131231833
791	1.131161845
792	1.131119659
793	1.13104333
794	1.130929806
795	1.130757654
796	1.130616949
797	1.130553423
798	1.130432653
799	1.130339305
800	1.130213999
801	1.130155775
802	1.130058498
803	1.129999641
804	1.129932356
805	1.129900832
806	1.12978449
807	1.129658314
808	1.129524561
809	1.129487056
810	1.129383274
811	1.129258054
812	1.129161306
813	1.129070381
814	1.128975565
815	1.12882077
816	1.128750406
817	1.128627797
818	1.128564514
819	1.128460642
820	1.128390726
821	1.128217485
822	1.128093307
823	1.128006571
824	1.12792601
825	1.127886013
826	1.127817661
827	1.127699972
828	1.127682301
829	1.127578207
830	1.127458808
831	1.127431287
832	1.127364832
833	1.127292452
834	1.127256917
835	1.127215575
836	1.127183172
837	1.127093496
838	1.127005298
839	1.126878978
840	1.126788745
841	1.126695848
842	1.126672718
843	1.126452389
844	1.126393835
845	1.126271249
846	1.126168777
847	1.126065307
848	1.125926475
849	1.125835334
850	1.125780614
851	1.125658323
852	1.125500764
853	1.125439445
854	1.125310704
855	1.125205447
856	1.125154021
857	1.125007463
858	1.124950979
859	1.124822988
860	1.124771901
861	1.124688841
862	1.124644047
863	1.124512368
864	1.124395325
865	1.124328425
866	1.124278911
867	1.124182211
868	1.124085294
869	1.123905173
870	1.123885758
871	1.123769162
872	1.123665538
873	1.123600236
874	1.123513944
875	1.123393711
876	1.123220475
877	1.123109387
878	1.12306124
879	1.122943776
880	1.122801164
881	1.122749106
882	1.122689113
883	1.122633355
884	1.122536905
885	1.122437896
886	1.122330546
887	1.12220644
888	1.122157532
889	1.12212382
890	1.122033979
891	1.12191567
892	1.121853041
893	1.12178416
894	1.121757909
895	1.121727585
896	1.121625221
897	1.121511341
898	1.121437195
899	1.121344782
900	1.12120863
901	1.12111669
902	1.121067086
903	1.120969354
904	1.12089233
905	1.120852937
906	1.120829984
907	1.120756278
908	1.12071182
909	1.120604002
910	1.120527437
911	1.120465844
912	1.120327587
913	1.120248867
914	1.120206002
915	1.120152571
916	1.120085659
917	1.119892292
918	1.119834221
919	1.119663098
920	1.119595061
921	1.119517695
922	1.119435006
923	1.11935122
924	1.119309622
925	1.119222759
926	1.119184421
927	1.119142785
928	1.119088172
929	1.118973989
930	1.118937089
931	1.118850691
932	1.118682216
933	1.118626565
934	1.118558013
935	1.1184899
936	1.118426589
937	1.118387213
938	1.118354942
939	1.118251138
940	1.118223568
941	1.11817394
942	1.11809419
943	1.118063945
944	1.117975678
945	1.117935572
946	1.117882052
947	1.11774629
948	1.117689274
949	1.117661072
950	1.117556547
951	1.117481567
952	1.117423095
953	1.117390634
954	1.117281716
955	1.117198752
956	1.117139173
957	1.117092582
958	1.117015152
959	1.11691614
960	1.116816698
961	1.116736272
962	1.116642171
963	1.116587399
964	1.116509334
965	1.116459843
966	1.116327192
967	1.116231813
968	1.116134205
969	1.116044845
970	1.115960955
971	1.115856162
972	1.115799348
973	1.115745062
974	1.115651296
975	1.115562451
976	1.115464239
977	1.115370535
978	1.115346468
979	1.115275933
980	1.115169694
981	1.115130977
982	1.115060393
983	1.115032773
984	1.11496518
985	1.114888496
986	1.114825668
987	1.11475744
988	1.114649627
989	1.114555851
990	1.114506825
991	1.114438338
992	1.114394446
993	1.114340047
994	1.114288027
995	1.114202227
996	1.114032778
997	1.113990274
998	1.113908533
999	1.113837886
